TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Channel,LoginAttempts,CustomerAge,CustomerOccupation,AccountBalance,anomaly_score,is_anomaly
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,ATM,1,70,Doctor,5112.21,0.5572676561443035,0
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,ATM,1,68,Doctor,13758.91,0.5472467076567443,0
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Online,1,19,Student,1122.35,0.437934080575361,0
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Online,1,26,Student,8569.06,0.5044918431188248,0
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Online,1,26,Student,7429.4,0.6301929751051846,0
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,ATM,1,18,Student,781.68,0.422719607090525,0
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,ATM,1,37,Doctor,13316.71,0.9971225789771836,1
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Branch,1,67,Retired,2796.24,0.8112769488197749,0
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Branch,1,51,Engineer,9095.14,0.8027786044035489,0
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,ATM,1,55,Doctor,1021.88,0.6696390424469402,0
TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Online,1,52,Engineer,7599.52,0.5545541474734734,0
TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Online,1,21,Student,1528.81,0.4364000329061678,0
TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,Branch,1,24,Student,1620.02,0.7319438057794992,0
TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,ATM,1,26,Student,189.69,0.5625661370413416,0
TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Online,1,18,Student,299.93,0.37878807538194914,0
TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,ATM,1,36,Engineer,3465.54,0.6579204720286901,0
TX000017,AC00317,555.8,2023-10-30 16:52:49,Credit,Branch,1,19,Student,1131.26,0.8042447850419852,0
TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Online,1,39,Engineer,5109.97,0.39550074256241063,0
TX000019,AC00242,18.68,2023-02-21 16:56:50,Credit,Branch,1,59,Retired,7948.37,0.8647486887700973,0
TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Online,1,18,Student,6568.59,0.5576350891822581,0
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Branch,1,71,Retired,5750.89,0.43548150890146,0
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Branch,1,38,Doctor,9146.19,0.4114367481349393,0
TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Online,1,39,Engineer,8974.93,0.44437746736074146,0
TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Online,3,22,Student,1402.5,0.9213961520386096,0
TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Online,1,21,Student,1930.96,0.5188051499772968,0
TX000026,AC00041,7.49,2023-10-20 17:53:13,Credit,Online,1,65,Retired,3634.67,0.8024443760828565,0
TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,ATM,5,23,Student,673.35,0.9027904570071108,0
TX000028,AC00057,40.32,2023-03-29 16:42:38,Debit,Branch,1,37,Engineer,2686.52,0.42283743673656016,0
TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Online,1,44,Doctor,1772.06,0.43510016610633595,0
TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Branch,1,27,Student,1351.69,0.7406978853674437,0
TX000031,AC00367,28.31,2023-07-17 17:49:22,Credit,Online,1,59,Doctor,8334.47,0.7534036144227539,0
TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,ATM,1,29,Doctor,9823.64,0.49260458187128614,0
TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,ATM,3,49,Engineer,9690.15,0.7896392427676802,0
TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Online,1,22,Student,399.0,0.5567693637283521,0
TX000035,AC00365,255.26,2023-10-27 16:42:49,Credit,Branch,1,45,Doctor,14815.87,0.5868284370075646,0
TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Branch,1,49,Engineer,5764.72,0.46869396121152046,0
TX000037,AC00404,78.13,2023-11-21 16:58:44,Debit,Branch,1,26,Student,900.61,0.7281337788050971,0
TX000038,AC00202,649.28,2023-03-02 17:53:32,Debit,ATM,1,75,Retired,4875.86,0.8728198005475513,0
TX000039,AC00478,795.31,2023-10-12 17:07:40,Debit,ATM,2,66,Doctor,7914.88,0.7517988975962666,0
TX000040,AC00405,335.63,2023-01-24 17:17:20,Debit,Online,1,55,Retired,1019.39,0.4278610052622313,0
TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,ATM,1,63,Retired,4323.66,0.4615247396288429,0
TX000042,AC00480,34.02,2023-01-09 16:13:21,Debit,Online,1,38,Doctor,14214.48,0.8080371711235677,0
TX000043,AC00120,241.42,2023-04-20 18:57:43,Credit,Online,1,57,Doctor,13357.02,0.6353114275968695,0
TX000044,AC00117,55.32,2023-04-12 16:03:37,Debit,ATM,1,19,Student,241.79,0.9254917384679573,0
TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Branch,1,27,Student,868.61,0.5168252681012102,0
TX000046,AC00401,435.27,2023-10-04 17:49:29,Debit,Branch,1,74,Retired,4673.28,0.37878807538194914,0
TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Branch,1,26,Student,1509.27,0.3979495813346755,0
TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Online,1,19,Student,781.7,0.4716341388769655,0
TX000049,AC00296,626.9,2023-11-27 16:45:57,Debit,Online,1,26,Student,265.51,0.4588580567364014,0
TX000050,AC00471,22.01,2023-03-27 16:45:18,Credit,Online,1,41,Engineer,1335.09,0.5745982012721926,0
TX000051,AC00159,425.34,2023-02-13 16:59:39,Credit,Online,1,69,Retired,3907.54,0.5994949250868551,0
TX000052,AC00482,424.56,2023-02-21 17:45:55,Debit,Online,1,51,Engineer,5183.85,0.37066374168929317,0
TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Branch,1,67,Doctor,14904.9,0.5517176936800503,0
TX000054,AC00055,169.5,2023-09-07 16:51:27,Debit,Branch,1,28,Student,918.88,0.42708763670483385,0
TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,ATM,1,62,Retired,4477.78,0.43445762570829743,0
TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Branch,1,25,Student,1324.03,0.4062878298534174,0
TX000057,AC00271,60.54,2023-12-14 17:52:37,Credit,Branch,1,57,Retired,3534.93,0.6042855833094473,0
TX000058,AC00456,292.56,2023-03-03 17:37:41,Credit,Branch,1,68,Retired,4638.37,0.7637914322770136,0
TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Branch,1,48,Engineer,5630.61,0.4377891248211426,0
TX000060,AC00427,112.07,2023-10-02 16:35:22,Debit,Branch,1,23,Student,930.3,0.4633781768041967,0
TX000061,AC00438,568.52,2023-10-06 18:44:37,Debit,ATM,1,46,Engineer,5499.91,0.4472802829359833,0
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Branch,2,79,Retired,4175.02,0.9024977727761915,0
TX000063,AC00425,349.64,2023-11-07 16:48:23,Debit,Online,1,48,Engineer,6651.62,0.4206625925948465,0
TX000064,AC00325,601.4,2023-05-30 17:43:25,Credit,Branch,1,56,Engineer,8458.29,0.5945407843998731,0
TX000065,AC00434,5.77,2023-11-02 16:01:40,Debit,Online,1,50,Doctor,13988.12,0.5350255237811655,0
TX000066,AC00242,201.33,2023-03-29 17:00:31,Credit,Branch,1,42,Engineer,2585.07,0.5648697406835023,0
TX000067,AC00319,298.42,2023-04-25 16:11:24,Debit,Branch,1,56,Retired,3014.75,0.5892676194668958,0
TX000068,AC00460,521.06,2023-04-18 18:40:47,Debit,Branch,1,25,Student,1951.42,0.9862057236725155,1
TX000069,AC00461,117.28,2023-02-09 16:34:53,Credit,Online,1,60,Engineer,3665.77,0.8006287510459036,0
TX000070,AC00395,189.12,2023-11-13 16:42:28,Credit,Branch,1,32,Engineer,977.01,0.638738316955622,0
TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,ATM,1,44,Engineer,3846.28,0.5073017742114134,0
TX000072,AC00053,143.21,2023-01-13 17:00:16,Debit,Online,1,35,Engineer,6374.82,0.6119179787617208,0
TX000073,AC00282,24.77,2023-07-04 18:20:33,Debit,ATM,1,62,Retired,5866.01,0.392273678290325,0
TX000074,AC00110,233.92,2023-10-20 16:54:28,Credit,Online,1,26,Student,6537.62,0.9852827078208838,1
TX000075,AC00265,1212.51,2023-10-04 16:36:29,Debit,Branch,1,20,Student,605.95,0.8556829778639712,0
TX000076,AC00239,232.12,2023-12-28 17:31:03,Debit,ATM,1,37,Engineer,6689.87,0.4266526305345312,0
TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Online,1,22,Student,634.17,0.4260743964292121,0
TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Branch,1,44,Doctor,14676.05,0.612472704867695,0
TX000079,AC00464,120.29,2023-12-18 18:46:27,Debit,Branch,1,19,Student,1362.39,0.42374715269673596,0
TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Online,1,50,Doctor,10528.34,0.4188528761245661,0
TX000081,AC00406,183.71,2023-06-19 18:22:10,Debit,ATM,1,38,Engineer,552.52,0.9619873807566828,1
TX000082,AC00445,345.39,2023-10-23 17:13:57,Credit,Online,1,58,Engineer,6451.96,0.5681305854034081,0
TX000083,AC00236,922.55,2023-01-23 16:32:48,Debit,ATM,1,63,Retired,4715.84,0.45980688035563133,0
TX000084,AC00220,259.91,2023-11-06 16:34:10,Debit,Online,1,49,Doctor,7176.86,0.7437317536418939,0
TX000085,AC00140,154.71,2023-07-03 16:40:24,Debit,Online,1,34,Doctor,1523.72,0.5658018533194397,0
TX000086,AC00098,1340.19,2023-09-29 17:22:10,Credit,Online,1,54,Engineer,8654.28,0.8545272646285937,0
TX000087,AC00303,24.56,2023-10-20 17:27:35,Debit,Branch,1,64,Doctor,9869.93,0.7712519436428862,0
TX000088,AC00373,568.07,2023-08-28 17:03:53,Debit,ATM,1,48,Doctor,10556.81,0.579972514473311,0
